Name of person who asked you to complete this survey,Do you have a Costco membership?,How many cars do you own?,Do you prefer personally driving or relying on other transportation?,How many siblings do you have?,What is your favorite genre of music?,Do you prefer online shopping or in person shopping?,What type of food do you prefer?,Are you lactose intolerant?,How many close friends do you have?,How many kids do you have?,Are you a dog or cat person?,What color lightsaber would you pick?,What is your starter Pokemon?,What is your average daily cellular screen time?
Andrew Calderon,Yes,1,driving,0,electronic,online shopping,Mexican,No,5,2,dog,green blue,Charmander,more than 5 hours
Nicole Polo,No,1,driving,2,pop,online shopping,Japanese,No,12,0,cat,white,Bulbasaur,more than 5 hours
Andrew Calderon,Yes,1,driving,1,Alternative,online shopping,Japanese,No,5,1,dog,purple,Charmander,3 - 4 hours
Drew,Yes,1,driving,1.5,Alt,online shopping,Japanese,No,9,1,dog,orange,Squirtle,1 - 2 hours
Melvin,Yes,1,driving,0,R & B,in person shopping,Japanese,No,8,0,dog,purple,Charmander,more than 5 hours
Nicole,Yes,1,driving,0,rap,online shopping,Chinese,No,6,3,cat,purple,Charmander,more than 5 hours
Nicole,Yes,1,other transportation,1,pop,in person shopping,Mexican,No,5,1,cat,purple,Squirtle,1 - 2 hours
Nicole,Yes,2,driving,2,rap,online shopping,Mexican,No,2,0,dog,white,none,3 - 4 hours
Nicole Polo,Yes,3,driving,2,rock,online shopping,Chinese,No,3,1,dog,black,Squirtle,3 - 4 hours
Kevin,Yes,1,driving,2,Rock of the Yacht variety,in person shopping,Italian,Yes,10,0,dog,green blue,Charmander,more than 5 hours
Ms. Polo,Yes,1,driving,2,pop,in person shopping,Japanese,Yes,5,0,dog,purple,Charmander,3 - 4 hours
Nicole Pilo,Yes,1,other transportation,3,Mexican Banda,in person shopping,Japanese,Yes,3,0,cat,yellow,Squirtle,3 - 4 hours
Nicole Polo & Andrew Calderon,No,1,driving,2,R & B,in person shopping,Mexican,Yes,500,0,dog,red,none,3 - 4 hours
nicole polo,No,0,other transportation,2,pop,online shopping,Italian,No,19,0,cat,purple,Bulbasaur,more than 5 hours
