Place,Distance (mi),Primary Language
Colombia ,3869.09,Spanish
Greece,6679.73,Greek
Austria,5962.79,German
Croatia,6144.69,Croatian
Anaheim ,363.72,English
Hungary,6144.98,Hungarian
Japan,5142.42,Japanese
New York,2570.48,English
Spain,5806.71,Spanish
Hawaii,2344.8,English
Europe,5592.38,Poly 
No Response,0,none
San Jose,35.04,English
Philippines,6999.15,Tagalog
Italy,6207.77,Italian
Netherlands,5489.08,Dutch
Las Vegas ,414.16,English
Palestine,7419.22,Arabic
South Korea,5660.08,Korean
Thailand,7809.68,Thai
United Kingdom,5076.48,English
Dominican Republic,3389.59,Spanish
France,5709.08,French
Asia,6765.77,Poly 
Los Angeles,339.93,English
Ecuador,3890.7,Spanish
Armenia,6997.04,Armenian
Fiji,5451.17,Fijian
Yosemite,156.67,English
China,6570.48,Poly
Belgium,5534.57,Poly
Mexico,1575.94,Spanish
Taiwan,6517.52,Mandarin
Switzerland,5836.59,Poly 
Singapore,8446.89,Poly 
Brazil ,5447.27,Portugese
Myanmar,7678.57,Burmese 
Seattle,689.27,English
Florida,2368.74,English
New York ,2570.48,English
Lake Tahoe,159.44,English
Canada,1600.18,Poly 
Peru,4483.79,Spanish
New Orleans,1920.37,English
India,8087.96,Hindi
Morocco,6120.19,Arabic
San Diego,450.88,English
Orlando ,2436.35,English
Catalina Island,1337.74,English
Miami,2580.84,English
Indonesia,7928.19,Indonesian
Maldives,9447.63,Dhivehi
Santa Cruz,49.95,English
Mill Valley,20.39,English
Egypt,7626.41,Arabic
Kenya,9489.11,Swahili 
Oregon,451.25,English
Jamaica,3030.89,English
Slovenia,6078.24,Slovenian
Utah,1712.66,English
Santa Barbara,286.6,English
Vietnam,7493.04,Vietnamese
Argentina,6208.51,Spanish
Sardinia,6253.35,Italian
Africa,9978.17,Poly
Irvine,375.73,English
Bahamas,2767.43,English
Turkey,6951.05,Turkish
Haiti,3257.29,French
Germany ,5653.7,German
Ireland,5057.74,English
Austin TX,1497.19,English
El Salvador ,2633.11,Spanish
Costa Rica,3076.66,Spanish
