,Random_ID,STUDENT_UNITS,FINAL_GRADE,GRADE_QUALITY_POINTS
0,96ETJ7N9,5.0,F,0.0
1,F3DO4KQ2,3.0,A,4.0
2,DVD0KJ5Y,1.0,A,4.0
3,YOX8MVSL,3.0,W,0.0
4,HS4ONTY7,4.0,A,4.0
5,HS4ONTY7,3.0,B+,3.3
6,HS4ONTY7,3.0,B,3.0
7,2CU059WV,3.0,A,4.0
8,2CU059WV,3.0,A,4.0
9,AHF5BUAT,1.0,P,0.0
10,7NAF4GQZ,3.0,A,4.0
11,AWH00TPS,2.0,W,0.0
12,AWH00TPS,2.0,W,0.0
13,AWH00TPS,3.0,A,4.0
14,AWH00TPS,1.0,A,4.0
15,O7C7VCDA,3.0,A,4.0
16,O7C7VCDA,3.0,NP,0.0
17,O7C7VCDA,1.0,A,4.0
18,VHGJYXYS,1.0,A,4.0
19,VHGJYXYS,3.0,A,4.0
20,KVPIQ288,1.0,A,4.0
21,KVPIQ288,3.0,A,4.0
22,KVPIQ288,3.0,A,4.0
23,RUWKF24T,3.0,W,0.0
24,JZ9M8TJE,3.0,B+,3.3
25,FV03B0IN,3.0,B,3.0
26,FV03B0IN,1.0,B+,3.3
27,4DPPZ4HK,1.0,W,0.0
28,QHL962N8,1.0,A,4.0
29,QHL962N8,1.0,A-,3.7
30,JPP3IIZL,4.0,A,4.0
31,JPP3IIZL,3.0,W,0.0
32,5HFPJPBY,1.0,P,0.0
33,EG3N3YME,1.0,P,0.0
34,RBSKA5M1,1.0,A,4.0
35,5RKAUWDG,3.0,A,4.0
36,5RKAUWDG,5.0,W,0.0
37,C4N3UKNA,1.0,A,4.0
38,DD89IL0J,0.0,W,0.0
39,DD89IL0J,5.0,W,0.0
40,044A104K,3.0,A,4.0
41,UNQLY4SR,1.0,W,0.0
42,LNPLZE3P,4.0,A,4.0
43,WS54UM1C,1.0,W,0.0
44,BWR0KHMG,3.0,B+,3.3
45,BWR0KHMG,3.0,A,4.0
46,UZ9U961D,3.0,A,4.0
47,UZ9U961D,3.0,A,4.0
48,VWAXWFJG,3.0,A-,3.7
49,R8V6PUDF,3.0,B,3.0
50,R8V6PUDF,3.0,B,3.0
51,P4GL3496,3.0,F,0.0
52,P4GL3496,3.0,F,0.0
53,MI2T8GXN,3.0,A-,3.7
54,IPLHEFMH,3.0,B,3.0
55,5QV1QA56,3.0,A,4.0
56,91EVUFOV,3.0,A,4.0
57,AE2R7PGQ,1.0,A-,3.7
58,AE2R7PGQ,1.0,A,4.0
59,JXPR4WGU,3.0,IF,0.0
60,HY1Z6JOW,1.0,F,0.0
61,HY1Z6JOW,3.0,W,0.0
62,7ZDES4A0,3.0,A,4.0
63,4ILC09BK,5.0,D+,1.3
64,4ILC09BK,1.5,NP,0.0
65,BYE5KB2Y,1.0,W,0.0
66,5T3BCZQF,3.0,B-,2.7
67,5T3BCZQF,3.0,A,4.0
68,6F7ZLOHT,3.0,W,0.0
69,6F7ZLOHT,3.0,A,4.0
70,Q8AJQBTG,3.0,B,3.0
71,7VVGZVTK,3.0,A,4.0
72,7VVGZVTK,3.0,B+,3.3
73,7VVGZVTK,1.0,B,3.0
74,2FJLLTPF,1.0,P,0.0
75,ASPSEJ4G,3.0,A-,3.7
76,RY36SZ75,3.0,W,0.0
77,RY36SZ75,3.0,W,0.0
78,VKLWYYO3,3.0,B,3.0
79,VKLWYYO3,1.0,A,4.0
80,19RD9ZKG,1.0,NP,0.0
81,19RD9ZKG,3.0,W,0.0
82,XC3K7FNV,4.0,A,4.0
83,KKJS9S76,1.0,P,0.0
84,S6306MOX,1.0,A,4.0
85,SVGVU7FG,3.0,F,0.0
86,K6F6569S,3.0,A,4.0
87,I3OW53Y7,3.0,ID,0.0
88,AGZ9C7Q3,3.0,A,4.0
89,AGZ9C7Q3,1.0,A,4.0
90,AGZ9C7Q3,3.0,B,3.0
91,AGZ9C7Q3,1.0,P,0.0
92,ACW9HBN0,3.0,A,4.0
93,QEVWFJV7,0.5,NP,0.0
94,QEVWFJV7,2.0,A,4.0
95,QEVWFJV7,4.0,A,4.0
96,QEVWFJV7,1.0,P,0.0
97,YVWHXX6J,3.0,F,0.0
98,GOMHGM65,3.0,P,0.0
99,IDHKHIYD,4.0,F,0.0
100,IDHKHIYD,2.0,W,0.0
101,IDHKHIYD,3.0,F,0.0
102,01Y3JZZU,3.0,C,2.0
103,01Y3JZZU,3.0,F,0.0
104,SNC8NTZS,3.0,B+,3.3
105,S7VAV4IH,3.0,A,4.0
106,BKR9CE6Q,1.0,P,0.0
107,HIS93LWO,3.0,B,3.0
108,4T69LEV0,2.0,W,0.0
109,H4C5MAYQ,3.0,A,4.0
110,RWANDGHX,3.0,A,4.0
111,RWANDGHX,3.0,A,4.0
112,SU2MXVW5,1.0,P,0.0
113,XKRMASOZ,2.0,A,4.0
114,XKRMASOZ,3.0,A,4.0
115,XKRMASOZ,3.0,A,4.0
116,XKRMASOZ,3.0,A,4.0
117,XKRMASOZ,1.0,A,4.0
118,NZJMZCO7,3.0,P,0.0
119,02KKOTAS,1.0,W,0.0
120,2KPKLJYN,1.0,A,4.0
121,3I3JBKQ7,1.0,P,0.0
122,3I3JBKQ7,1.0,P,0.0
123,NETTN5BZ,1.0,A,4.0
124,NETTN5BZ,1.0,A,4.0
125,9G6NBRKW,2.0,A,4.0
126,9G6NBRKW,1.0,A,4.0
127,CVZCAUZW,1.0,B,3.0
128,GBGUW134,2.0,A,4.0
129,GBGUW134,3.0,A,4.0
130,KTXS898O,3.0,A,4.0
131,NMZ5S6AS,3.0,P,0.0
132,J8UBAPPF,1.0,F,0.0
133,J8UBAPPF,1.0,B,3.0
134,J8UBAPPF,1.0,C,2.0
135,J8UBAPPF,3.0,B+,3.3
136,1GZ117RO,3.0,A,4.0
137,WIMYR4H0,1.0,P,0.0
138,F8EAJLC6,3.0,A-,3.7
139,J2YV9MK1,5.0,W,0.0
140,O6P4AQ8Q,5.0,W,0.0
141,T88LKSTJ,3.0,C,2.0
142,T88LKSTJ,4.0,W,0.0
143,ME4TU0YG,4.0,B,3.0
144,86W2MVC6,2.0,A,4.0
145,UA3IZ5NW,2.0,A,4.0
146,R8KTNVDP,1.0,W,0.0
147,TV4FFENA,3.0,A,4.0
148,3HS65NN5,1.0,W,0.0
149,3HS65NN5,1.0,P,0.0
150,RDB9PBAI,1.0,P,0.0
151,RDB9PBAI,1.0,P,0.0
152,RDB9PBAI,1.0,P,0.0
153,GTJTDTX9,1.0,P,0.0
154,3ZI2IGPR,0.5,P,0.0
155,V9X46QE9,4.0,B-,2.7
156,V9X46QE9,2.0,P#,0.0
157,T5SW8WE2,3.0,W,0.0
158,5CYJQ2AU,1.0,A,4.0
159,VR47BJCJ,5.0,B,3.0
160,066DJ955,1.0,A,4.0
161,066DJ955,3.0,D,1.0
162,MWJV8P4S,3.0,A,4.0
163,MWJV8P4S,1.0,P,0.0
164,LGOBZ0EH,1.0,W,0.0
165,XERNAG76,3.0,A,4.0
166,XERNAG76,4.0,A,4.0
167,BIHV135O,2.0,P,0.0
168,WP6WNPTQ,3.0,A,4.0
169,WN7TJHXA,3.0,W,0.0
170,OA91RY9J,3.0,A,4.0
171,OA91RY9J,3.0,P,0.0
172,D5X87WDO,2.0,C,2.0
173,D5X87WDO,1.0,A,4.0
174,D5X87WDO,1.0,A,4.0
175,XSOR0XSD,3.0,W,0.0
176,B0UJ75YL,4.0,EW,0.0
177,XAZNYU4F,1.0,P,0.0
178,2GVFX2R5,3.0,A,4.0
179,58ADY9BR,3.0,A,4.0
180,UHO0SW1S,1.0,W,0.0
181,UHO0SW1S,1.0,W,0.0
182,XQDYSYHS,1.0,A,4.0
183,XQDYSYHS,3.0,A,4.0
184,TMPGV8Q6,5.0,A-,3.7
185,TEK2LBGY,5.0,A,4.0
186,TEK2LBGY,1.0,A,4.0
187,WPA82ZUJ,3.0,B,3.0
188,7UEL15UK,0.5,W,0.0
189,BEI2ZOVD,0.5,A,4.0
190,LGYBSTPB,0.5,P,0.0
191,LGYBSTPB,0.5,P,0.0
192,LGYBSTPB,0.5,P,0.0
193,XF5SVOPQ,3.0,A,4.0
194,XF5SVOPQ,1.0,W,0.0
195,KGHIZ3AK,3.0,W,0.0
196,I6XG5DDC,0.5,W,0.0
197,HCNLXQLT,1.0,P,0.0
198,NNP4GSKI,3.0,W,0.0
199,NNP4GSKI,3.0,W,0.0
200,NNP4GSKI,3.0,W,0.0
201,NNP4GSKI,3.0,W,0.0
202,8KD8WRB0,2.0,A,4.0
203,3QYY8CFA,1.0,A,4.0
204,LG02IILS,3.0,F,0.0
205,LG02IILS,3.0,F,0.0
206,4LZ5QT5B,3.0,A-,3.7
207,4LZ5QT5B,3.0,A,4.0
208,DSS7DXJP,1.0,P,0.0
209,PPGN6R8U,3.0,B,3.0
210,PPGN6R8U,4.0,C+,2.3
211,ZMATO27H,1.0,P,0.0
212,PH2B5RMU,3.0,A-,3.7
213,EKYESJ19,1.0,A,4.0
214,PE4WFQ86,5.0,A,4.0
215,PE4WFQ86,4.0,C,2.0
216,PE4WFQ86,3.0,W,0.0
217,GTQRZRBT,3.0,W,0.0
218,XYZUXJCF,3.0,A,4.0
219,HK2HCBFL,1.0,A,4.0
220,HK2HCBFL,1.0,A,4.0
221,3QSMWT5A,3.0,W,0.0
222,WJ4GG2RD,4.0,C,2.0
223,WJ4GG2RD,5.0,W,0.0
224,8RJ0DAOI,1.0,P,0.0
225,KEPL0VX0,1.0,W,0.0
226,2W3494Z8,4.0,W,0.0
227,04G2VJDG,3.0,A,4.0
228,04G2VJDG,3.0,A,4.0
229,PEAIYJHQ,3.0,B,3.0
230,PEAIYJHQ,1.0,B-,2.7
231,8A8Q28FN,1.0,P,0.0
232,8A8Q28FN,1.0,P,0.0
233,1M3FLREQ,3.0,A-,3.7
234,MTG8C71V,3.0,A,4.0
235,MTG8C71V,1.0,A-,3.7
236,MTG8C71V,3.0,W,0.0
237,MTG8C71V,2.0,W,0.0
238,CGDZ0LIO,0.5,A,4.0
239,H046KQCA,3.0,A,4.0
240,QACJDCD2,3.0,W,0.0
241,BK8CYIWC,1.0,P,0.0
242,TLIJPVMW,3.0,A,4.0
243,TLIJPVMW,1.0,W,0.0
244,TLIJPVMW,1.0,A,4.0
245,TLIJPVMW,3.0,A,4.0
246,TLIJPVMW,0.5,A,4.0
247,TLIJPVMW,3.0,W,0.0
248,E3D53COB,1.0,P,0.0
249,E3D53COB,1.0,P,0.0
250,H2VP5LO6,5.0,P,0.0
251,H2VP5LO6,1.0,P,0.0
252,KPWCU92O,3.0,A,4.0
